node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id
0,,-111.92751,33.4245,,,,-1
1,,-111.94428,33.42547,,,,-1
2,,-111.94427,33.42189,,,,-1
3,,-111.94425,33.42035,,,,-1
4,,-111.94425,33.41892,,,,-1
5,,-111.94425,33.41463,,,,-1
6,,-111.94429,33.41463,,,,-1
7,,-111.9443,33.41102,,,,-1
8,,-111.9443,33.40952,,,,-1
9,,-111.93043,33.42313,,,,-1
12,,-111.93914,33.42435,,,,-1
13,,-111.93667,33.42436,,,,-1
14,,-111.94126,33.42193,,,,-1
15,,-111.94124,33.41905,,,,-1
16,,-111.94123,33.41762,,,,-1
17,,-111.94121,33.4162,,,,-1
18,,-111.94119,33.41474,,,,-1
19,,-111.93601,33.40951,,,,-1
20,,-111.93013,33.41044,,,,-1
21,,-111.92651,33.41046,,,,-1
22,,-111.92325,33.41189,,,,-1
23,,-111.94234,33.41361,,,,-1
24,,-111.94242,33.41473,,,,-1
25,,-111.94245,33.41619,,,,-1
26,,-111.94245,33.41762,,,,-1
27,,-111.94239,33.41905,,,,-1
28,,-111.94237,33.42051,,,,-1
29,,-111.94239,33.42193,,,,-1
30,,-111.94335,33.42548,,,,-1
31,,-111.94277,33.42756,,,,-1
32,,-111.9263,33.41288,,,,-1
33,,-111.92631,33.41685,,,,-1
34,,-111.92629,33.41914,,,,-1
35,,-111.93973,33.41191,,,,-1
36,,-111.93796,33.41194,,,,-1
37,,-111.93657,33.41196,,,,-1
38,,-111.93493,33.41198,,,,-1
39,,-111.93069,33.41205,,,,-1
40,,-111.92043,33.41288,,,,-1
41,,-111.92097,33.41288,,,,-1
42,,-111.92094,33.41135,,,,-1
43,,-111.92838,33.40974,,,,-1
44,,-111.92837,33.40905,,,,-1
45,,-111.93997,33.4168,,,,-1
46,,-111.93737,33.41465,,,,-1
48,,-111.93065,33.41474,,,,-1
50,,-111.9294,33.41664,,,,-1
51,,-111.92059,33.41671,,,,-1
56,,-111.94004,33.41762,,,,-1
57,,-111.93999,33.4162,,,,-1
58,,-111.93989,33.41363,,,,-1
59,,-111.93989,33.4135,,,,-1
60,,-111.94263,33.41361,,,,-1
61,,-111.92652,33.40905,,,,-1
62,,-111.92199,33.41289,,,,-1
64,,-111.93497,33.42195,,,,-1
65,,-111.92894,33.42202,,,,-1
66,,-111.93667,33.4255,,,,-1
67,,-111.93493,33.42544,,,,-1
68,,-111.93012,33.40934,,,,-1
69,,-111.93012,33.40974,,,,-1
70,,-111.92892,33.42027,,,,-1
71,,-111.9307,33.41357,,,,-1
72,,-111.93707,33.41353,,,,-1
73,,-111.93493,33.41355,,,,-1
74,,-111.93278,33.41357,,,,-1
75,,-111.91941,33.41287,,,,-1
76,,-111.9194,33.41126,,,,-1
77,,-111.92032,33.41288,,,,-1
78,,-111.92259,33.41289,,,,-1
79,,-111.93667,33.42321,,,,-1
80,,-111.92326,33.41289,,,,-1
81,,-111.93812,33.41908,,,,-1
82,,-111.93816,33.42319,,,,-1
83,,-111.93499,33.42321,,,,-1
84,,-111.93328,33.41609,,,,-1
85,,-111.93397,33.41835,,,,-1
86,,-111.93498,33.42433,,,,-1
87,,-111.9383,33.41493,,,,-1
89,,-111.93383,33.41833,,,,-1
90,,-111.9371,33.41452,,,,-1
91,,-111.93964,33.41454,,,,-1
92,,-111.92029,33.41135,,,,-1
93,,-111.92056,33.41872,,,,-1
94,,-111.94393,33.41102,,,,-1
95,,-111.94003,33.41746,,,,-1
96,,-111.92055,33.41487,,,,-1
98,,-111.93065,33.41479,,,,-1
104,,-111.93065,33.41466,,,,-1
106,,-111.92045,33.41471,,,,-1
107,,-111.92253,33.41675,,,,-1
108,,-111.92231,33.41675,,,,-1
109,,-111.92318,33.41753,,,,-1
110,,-111.92039,33.41489,,,,-1
111,,-111.92628,33.42009,,,,-1
112,,-111.93054,33.41155,,,,-1
113,,-111.92623,33.42381,,,,-1
114,,-111.9229,33.42381,,,,-1
115,,-111.9221,33.41151,,,,-1
116,,-111.92326,33.41122,,,,-1
117,,-111.92354,33.41015,,,,-1
118,,-111.93707,33.41624,,,,-1
119,,-111.93731,33.41632,,,,-1
122,,-111.93991,33.41465,,,,-1
126,,-111.94083,33.41475,,,,-1
129,,-111.9265,33.40975,,,,-1
130,,-111.92629,33.42035,,,,-1
131,,-111.93667,33.42129,,,,-1
132,,-111.93815,33.415,,,,-1
134,,-111.93984,33.41703,,,,-1
135,,-111.93984,33.41745,,,,-1
136,,-111.93985,33.41762,,,,-1
143,,-111.9395,33.42738,,,,-1
145,,-111.92629,33.42028,,,,-1
147,,-111.92623,33.42284,,,,-1
148,,-111.92623,33.42334,,,,-1
149,,-111.92589,33.42334,,,,-1
150,,-111.92639,33.42388,,,,-1
156,,-111.94127,33.42612,,,,-1
157,,-111.94127,33.42549,,,,-1
158,,-111.94127,33.42434,,,,-1
159,,-111.92157,33.41134,,,,-1
160,,-111.92003,33.41135,,,,-1
161,,-111.94428,33.42689,,,,-1
162,,-111.92257,33.41111,,,,-1
163,,-111.92094,33.41169,,,,-1
164,,-111.92095,33.41231,,,,-1
165,,-111.92174,33.41373,,,,-1
166,,-111.92208,33.41471,,,,-1
167,,-111.92208,33.41482,,,,-1
168,,-111.93662,33.41907,,,,-1
169,,-111.93816,33.4255,,,,-1
170,,-111.93812,33.42052,,,,-1
171,,-111.93502,33.41075,,,,-1
172,,-111.93489,33.40966,,,,-1
173,,-111.93494,33.40966,,,,-1
174,,-111.93527,33.40958,,,,-1
175,,-111.93494,33.4096,,,,-1
176,,-111.93489,33.40961,,,,-1
177,,-111.93974,33.41284,,,,-1
178,,-111.93658,33.41291,,,,-1
179,,-111.93796,33.41289,,,,-1
180,,-111.93916,33.41451,,,,-1
181,,-111.93988,33.41259,,,,-1
182,,-111.93979,33.4106,,,,-1
183,,-111.93917,33.41472,,,,-1
184,,-111.9399,33.41061,,,,-1
185,,-111.93967,33.41113,,,,-1
186,,-111.94007,33.42776,,,,-1
187,,-111.92771,33.41865,,,,-1
188,,-111.92915,33.4148,,,,-1
189,,-111.92915,33.41467,,,,-1
190,,-111.93139,33.41741,,,,-1
191,,-111.9314,33.41836,,,,-1
193,,-111.92521,33.41471,,,,-1
194,,-111.92737,33.41481,,,,-1
195,,-111.92458,33.41472,,,,-1
196,,-111.92405,33.41482,,,,-1
197,,-111.92473,33.41482,,,,-1
198,,-111.94146,33.42384,,,,-1
199,,-111.9417,33.42364,,,,-1
200,,-111.92637,33.42751,,,,-1
201,,-111.92621,33.42751,,,,-1
202,,-111.92737,33.41469,,,,-1
203,,-111.94255,33.42794,,,,-1
204,,-111.93076,33.422,,,,-1
205,,-111.93495,33.4161,,,,-1
206,,-111.94323,33.42425,,,,-1
207,,-111.92885,33.41844,,,,-1
208,,-111.93665,33.41748,,,,-1
209,,-111.93663,33.41621,,,,-1
210,,-111.93665,33.41765,,,,-1
211,,-111.93446,33.40964,,,,-1
212,,-111.93389,33.40961,,,,-1
213,,-111.93384,33.40931,,,,-1
214,,-111.93492,33.41033,,,,-1
215,,-111.92787,33.42027,,,,-1
216,,-111.9229,33.42203,,,,-1
217,,-111.92423,33.41191,,,,-1
218,,-111.92856,33.41468,,,,-1
219,,-111.92835,33.41263,,,,-1
220,,-111.92155,33.41471,,,,-1
221,,-111.92152,33.4141,,,,-1
222,,-111.92108,33.41288,,,,-1
223,,-111.92579,33.41013,,,,-1
224,,-111.93776,33.42429,,,,-1
225,,-111.92746,33.42201,,,,-1
226,,-111.92969,33.4241,,,,-1
227,,-111.92788,33.42331,,,,-1
228,,-111.94126,33.42645,,,,-1
229,,-111.92628,33.40949,,,,-1
230,,-111.92628,33.40993,,,,-1
231,,-111.92628,33.41009,,,,-1
232,,-111.92628,33.41015,,,,-1
233,,-111.94242,33.42047,,,,-1
234,,-111.94233,33.42047,,,,-1
235,,-111.94128,33.42048,,,,-1
236,,-111.94119,33.42048,,,,-1
237,,-111.94123,33.42044,,,,-1
238,,-111.94123,33.42052,,,,-1
239,,-111.94237,33.42043,,,,-1
240,,-111.94002,33.42646,,,,-1
241,,-111.93279,33.41471,,,,-1
242,,-111.93997,33.42049,,,,-1
243,,-111.93996,33.42194,,,,-1
244,,-111.9263,33.4245,,,,-1
245,,-111.92629,33.41477,,,,-1
246,,-111.93991,33.41475,,,,-1
247,,-111.92633,33.42203,,,,-1
248,,-111.93954,33.41602,,,,-1
249,,-111.93661,33.41467,,,,-1
250,,-111.94002,33.42738,,,,-1
251,,-111.93994,33.41906,,,,-1
252,,-111.94002,33.42319,,,,-1
253,,-111.94002,33.42549,,,,-1
254,,-111.94002,33.42434,,,,-1
255,,-111.93496,33.41468,,,,-1
256,,-111.93815,33.42194,,,,-1
257,,-111.93666,33.42195,,,,-1
